name,family,genus,nutritions.carbohydrates,nutritions.protein,nutritions.fat,nutritions.calories,nutritions.sugar
Persimmon,Ebenaceae,Diospyros,18.0,0.0,0.0,81,18.0
Strawberry,Rosaceae,Fragaria,5.5,0.8,0.4,29,5.4
Banana,Musaceae,Musa,22.0,1.0,0.2,96,17.2
Tomato,Solanaceae,Solanum,3.9,0.9,0.2,74,2.6
Pear,Rosaceae,Pyrus,15.0,0.4,0.1,57,10.0
Durian,Malvaceae,Durio,27.1,1.5,5.3,147,6.75
Blackberry,Rosaceae,Rubus,9.0,1.3,0.4,40,4.5
Lingonberry,Ericaceae,Vaccinium,11.3,0.75,0.34,50,5.74
Kiwi,Actinidiaceae,Apteryx,15.0,1.1,0.5,61,9.0
Lychee,Sapindaceae,Litchi,17.0,0.8,0.44,66,15.0
Pineapple,Bromeliaceae,Ananas,13.12,0.54,0.12,50,9.85
Fig,Moraceae,Ficus,19.0,0.8,0.3,74,16.0
Gooseberry,Grossulariaceae,Ribes,10.0,0.9,0.6,44,0.0
Passionfruit,Passifloraceae,Passiflora,22.4,2.2,0.7,97,11.2
Plum,Rosaceae,Prunus,11.4,0.7,0.28,46,9.92
Orange,Rutaceae,Citrus,8.3,1.0,0.2,43,8.2
GreenApple,Rosaceae,Malus,3.1,0.4,0.1,21,6.4
Raspberry,Rosaceae,Rubus,12.0,1.2,0.7,53,4.4
Watermelon,Cucurbitaceae,Citrullus,8.0,0.6,0.2,30,6.0
Lemon,Rutaceae,Citrus,9.0,1.1,0.3,29,2.5
Mango,Anacardiaceae,Mangifera,15.0,0.82,0.38,60,13.7
Blueberry,Rosaceae,Fragaria,5.5,0.0,0.4,29,5.4
Apple,Rosaceae,Malus,11.4,0.3,0.4,52,10.3
Guava,Myrtaceae,Psidium,14.0,2.6,1.0,68,9.0
Apricot,Rosaceae,Prunus,3.9,0.5,0.1,15,3.2
Melon,Cucurbitaceae,Cucumis,8.0,0.0,0.0,34,8.0
Tangerine,Rutaceae,Citrus,8.3,0.0,0.4,45,9.1
Pitahaya,Cactaceae,Cactaceae,7.0,1.0,0.4,36,3.0
Lime,Rutaceae,Citrus,8.4,0.3,0.1,25,1.7
Pomegranate,Lythraceae,Punica,18.7,1.7,1.2,83,13.7
Dragonfruit,Cactaceae,Selenicereus,9.0,9.0,1.5,60,8.0
Grape,Vitaceae,Vitis,18.1,0.72,0.16,69,16.0
Morus,Moraceae,Morus,9.8,1.44,0.39,43,8.1
Feijoa,Myrtaceae,Sellowiana,8.0,0.6,0.4,44,3.0
Avocado,Lauraceae,Persea,8.53,2.0,14.66,160,0.66
Kiwifruit,Actinidiaceae,Actinidia,14.6,1.14,0.5,61,8.9
Cranberry,Ericaceae,Vaccinium,12.2,0.4,0.1,46,4.0
Cherry,Rosaceae,Prunus,12.0,1.0,0.3,50,8.0
Peach,Rosaceae,Prunus,9.5,0.9,0.25,39,8.4
Jackfruit,Moraceae,Artocarpus,23.2,1.72,0.0,95,19.1
Horned Melon,Cucurbitaceae,Cucumis,7.56,1.78,1.26,44,0.5
Hazelnut,Betulaceae,Corylus,17.0,15.0,61.0,628,4.3
Pomelo,Rutaceae,Citrus,9.67,0.82,0.0,37,8.5
Mangosteen,Clusiaceae,Garcinia,17.91,0.41,0.58,73,16.11
Pumpkin,Cucurbitaceae,Cucurbita,4.6,1.1,0.3,25,3.3
Japanese Persimmon, Ebenaceae,Diospyros,19.0,0.6,0.2,70,13.0
Papaya,Caricaceae,Carica,5.8,0.5,0.3,39,4.4
Annona,Annonaceae,Annonas,19.1,1.5,0.29,92,3.4
Ceylon Gooseberry,Salicaceae,Dovyalis,9.6,1.2,0.3,47,8.1
